City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buka,40.8108,69.1986,2.32,82,100,3.22,UZ,1705274486
1,nelson bay,-32.7167,152.15,24.49,80,75,8.05,AU,1705274486
2,albany,42.6001,-73.9662,-3.92,58,39,0.89,US,1705274192
3,bilibino,68.0546,166.4372,-33.72,100,99,1.42,RU,1705274486
4,edinburgh of the seven seas,-37.0676,-12.3116,15.66,88,98,3.32,SH,1705274487
5,puerto aysen,-45.4,-72.7,13.31,100,100,3.06,CL,1705274254
6,port alfred,-33.5906,26.891,18.99,99,99,2.24,ZA,1705274487
7,invercargill,-46.4,168.35,12.79,66,57,6.71,NZ,1705274330
8,nova vicosa,-17.8919,-39.3719,26.0,83,7,5.09,BR,1705274388
9,uturoa,-16.7333,-151.4333,27.72,80,96,10.78,PF,1705274488
10,port-aux-francais,-49.35,70.2167,5.61,69,93,12.0,TF,1705274488
11,leava,-14.3,-178.1667,28.94,73,86,1.86,WF,1705274488
12,adamstown,-25.066,-130.1015,24.05,77,1,5.4,PN,1705274489
13,west island,-12.1568,96.8225,26.99,94,100,5.66,CC,1705274489
14,margaret river,-33.95,115.0667,22.16,71,0,2.75,AU,1705274489
15,vila franca do campo,37.7167,-25.4333,16.23,87,99,1.56,PT,1705274489
16,dudinka,69.4058,86.1778,-29.07,80,100,5.36,RU,1705274269
17,blackmans bay,-43.0167,147.3167,18.18,57,19,0.45,AU,1705274489
18,rikaze,29.25,88.8833,-3.23,48,0,1.48,CN,1705274490
19,gadzhiyevo,69.2551,33.3362,-17.98,100,100,2.65,RU,1705274490
20,waitangi,-43.9535,-176.5597,17.12,96,100,2.24,NZ,1705274490
21,ofunato,39.0717,141.7167,-0.64,72,34,8.15,JP,1705274490
22,santa terezinha,-29.9002,-50.0904,22.27,94,99,1.83,BR,1705274490
23,alofi,-19.0595,-169.9187,28.94,74,99,5.66,NU,1705274491
24,isafjordur,66.0755,-23.124,-5.34,66,99,1.75,IS,1705274491
25,taulaga,-11.0553,-171.0883,29.15,75,98,5.5,AS,1705274491
26,horta,38.5333,-28.6333,13.34,82,84,2.24,PT,1705274491
27,grytviken,-54.2811,-36.5092,2.19,88,100,2.49,GS,1705274491
28,sitka,57.0531,-135.33,4.94,70,100,5.14,US,1705274492
29,talnakh,69.4865,88.3972,-26.71,73,100,0.15,RU,1705274492
30,papatowai,-46.5619,169.4708,10.22,78,48,6.53,NZ,1705274492
31,bethel,41.3712,-73.414,0.17,39,0,7.72,US,1705274492
32,nuku'alofa,-21.1333,-175.2,29.19,89,75,8.23,TO,1705274492
33,tosontsengel,48.7567,98.2839,-21.83,79,1,0.31,MN,1705274492
34,college,64.8569,-147.8028,-14.03,82,100,0.0,US,1705274492
35,sabha,27.0377,14.4283,9.12,42,22,1.75,LY,1705274492
36,bayanhongor,46.7167,100.1167,-17.87,69,25,1.29,MN,1705274493
37,udachny,66.4167,112.4,-40.7,100,77,2.25,RU,1705274493
38,sao joao da barra,-21.6403,-41.0511,26.05,90,100,3.03,BR,1705274493
39,el bayadh,33.6832,1.0193,8.67,24,46,2.37,DZ,1705274493
40,sept-iles,50.2001,-66.3821,-2.0,51,75,8.75,CA,1705274493
41,qamdo,31.1667,97.2333,-8.13,37,92,2.18,CN,1705274493
42,jinchang,38.4953,102.1739,-4.52,57,97,1.12,CN,1705274493
43,hasaki,35.7333,140.8333,6.22,45,14,5.76,JP,1705274493
44,namibe,-15.1961,12.1522,21.04,78,89,3.94,AO,1705274494
45,saint-joseph,-21.3667,55.6167,24.21,91,100,9.63,RE,1705274494
46,chandler,33.3062,-111.8412,19.5,23,0,2.57,US,1705274364
47,serdar,38.9764,56.2757,-1.43,90,99,4.44,TM,1705274494
48,argo,37.6333,22.7333,8.77,74,4,2.55,GR,1705274494
49,stanley,54.868,-1.6985,-1.38,78,0,6.17,GB,1705274494
50,puerto natales,-51.7236,-72.4875,9.34,85,100,8.91,CL,1705274494
51,flying fish cove,-10.4217,105.6791,24.82,94,75,0.0,CX,1705274494
52,olyokminsk,60.3736,120.4264,-23.84,100,99,0.94,RU,1705274495
53,takoradi,4.8845,-1.7554,27.13,81,43,3.67,GH,1705274495
54,tabas,33.5959,56.9244,12.12,35,75,2.06,IR,1705274495
55,lebu,-37.6167,-73.65,14.99,82,0,8.32,CL,1705274266
56,nova sintra,14.8667,-24.7167,22.12,73,100,6.09,CV,1705274495
57,hawaiian paradise park,19.5933,-154.9731,25.57,78,100,2.57,US,1705274495
58,mana,5.6592,-53.7767,25.59,87,22,4.21,GF,1705274495
59,opuwo,-18.0607,13.84,22.21,51,98,3.17,NA,1705274496
60,pakxan,18.3778,103.6601,21.07,89,12,1.85,LA,1705274496
61,atafu village,-8.5421,-172.5159,29.1,77,59,4.99,TK,1705274496
62,coquimbo,-29.9533,-71.3436,19.85,77,0,4.12,CL,1705274424
63,antonio enes,-16.2325,39.9086,25.47,91,96,2.1,MZ,1705274497
64,ilulissat,69.2167,-51.1,0.01,86,100,0.51,GL,1705274497
65,mahina,-17.5065,-149.489,30.87,66,75,3.09,PF,1705274497
66,sovetskaya gavan',48.9723,140.2878,-14.94,93,100,3.42,RU,1705274497
67,kavaratti,10.5669,72.642,28.24,71,58,4.8,IN,1705274497
68,ust-nera,64.5667,143.2,-46.37,99,85,1.68,RU,1705274497
69,lihue,21.9789,-159.3672,24.09,59,0,3.6,US,1705274497
70,pueblo,38.2545,-104.6091,-10.58,44,20,3.09,US,1705274497
71,presidente venceslau,-21.8761,-51.8439,26.02,70,83,0.62,BR,1705274492
72,yellowknife,62.456,-114.3525,-34.84,74,20,1.54,CA,1705274498
73,iqaluit,63.7506,-68.5145,-3.15,73,100,9.26,CA,1705274498
74,thompson,55.7435,-97.8558,-22.91,70,75,5.14,CA,1705273946
75,punta arenas,-53.15,-70.9167,8.06,81,100,2.57,CL,1705274404
76,ribeira grande,38.5167,-28.7,13.76,82,83,2.24,PT,1705274498
77,sanming,26.2486,117.6186,11.49,77,0,0.96,CN,1705274498
78,maniago,46.1706,12.7078,2.44,90,77,2.0,IT,1705274498
79,cabo san lucas,22.8909,-109.9124,25.28,47,0,3.6,MX,1705273988
80,mogadishu,2.0371,45.3438,26.05,87,77,8.22,SO,1705274498
81,kenai,60.5544,-151.2583,1.05,78,0,8.23,US,1705274498
82,kodiak,57.79,-152.4072,1.73,51,0,4.63,US,1705274499
83,necochea,-38.5473,-58.7368,17.75,62,5,5.24,AR,1705274499
84,bredasdorp,-34.5322,20.0403,18.66,77,68,0.43,ZA,1705274499
85,tolanaro,-25.0319,46.9987,26.04,89,75,2.06,MG,1705274499
86,lompoc,34.6391,-120.4579,19.32,68,100,6.17,US,1705274499
87,chorozinho,-4.3003,-38.4978,24.58,85,97,2.44,BR,1705274499
88,bataipora,-22.2953,-53.2711,27.3,67,74,2.21,BR,1705274499
89,ambalangoda,6.2355,80.0538,25.06,85,29,2.18,LK,1705274500
90,maun,-19.9833,23.4167,22.98,100,75,1.03,BW,1705274500
91,greenville,35.6127,-77.3663,12.02,41,0,3.09,US,1705274214
92,los zacatones,22.95,-102.05,23.31,9,0,5.11,MX,1705274500
93,minas de marcona,-15.2119,-75.1103,19.29,74,89,6.83,PE,1705274500
94,klyuchi,52.2667,79.1667,-19.36,81,27,6.79,RU,1705274500
95,kimbe,-5.5502,150.1429,28.93,80,84,0.34,PG,1705274500
96,tiksi,71.6872,128.8694,-28.22,100,100,0.73,RU,1705274500
97,saint-pierre,-21.3393,55.4781,24.82,83,100,1.54,RE,1705274500
98,mutuali,-14.8706,37.0044,20.74,98,100,2.3,MZ,1705274500
99,howrah,22.5892,88.3103,12.0,87,100,2.57,IN,1705274501
100,vorgashor,67.5833,63.95,-28.19,95,99,1.74,RU,1705274501
101,ulety,51.3572,112.4849,-21.58,97,85,0.37,RU,1705274501
102,nouadhibou,20.931,-17.0347,19.99,56,100,3.6,MR,1705274501
103,riverton,40.5219,-111.9391,2.94,86,100,0.89,US,1705274501
104,andreapol',56.6513,32.2664,-7.76,95,99,3.27,RU,1705274501
105,ventnor,50.5948,-1.2037,3.77,83,63,1.34,GB,1705274507
106,prince george,53.9166,-122.753,-19.3,71,20,0.45,CA,1705274453
107,orkney,-26.9802,26.6727,24.13,48,50,4.65,ZA,1705274507
108,aswan,24.0934,32.907,13.61,44,0,2.06,EG,1705274507
109,waingapu,-9.6567,120.2641,28.26,76,94,5.08,ID,1705274507
110,prince rupert,54.3161,-130.3201,-1.95,64,0,1.54,CA,1705274507
111,sergeyevka,53.88,67.4158,-21.38,90,7,6.23,KZ,1705274507
112,new kingman-butler,35.265,-114.0323,13.97,28,0,0.6,US,1705274507
113,saynshand,44.8824,110.1163,-16.47,85,36,2.99,MN,1705274507
114,saldanha,-33.0117,17.9442,17.03,89,38,3.99,ZA,1705274507
115,nishinoomote,30.7333,131.0,17.68,62,3,12.04,JP,1705274508
116,bikenibeu village,1.3673,173.1241,30.98,74,100,4.12,KI,1705274509
117,ceelbuur,4.685,46.6176,25.0,74,86,5.5,SO,1705274509
118,new norfolk,-42.7826,147.0587,18.84,48,52,0.94,AU,1705274509
119,beyneu,45.3167,55.2,-14.02,89,5,4.03,KZ,1705274509
120,kete krachi,7.7939,-0.0498,28.19,37,22,3.31,GH,1705274510
121,krasnoslobodsk,48.7072,44.5714,-7.1,86,100,9.0,RU,1705274510
122,san luis de la loma,17.2706,-100.8939,27.59,56,6,2.11,MX,1705274510
123,wailua homesteads,22.0669,-159.378,23.75,59,0,3.6,US,1705274510
124,vilyuysk,63.7553,121.6247,-37.22,100,100,0.45,RU,1705274510
125,gudur,14.1333,79.85,20.82,93,30,2.47,IN,1705274510
126,nemuro,43.3236,145.575,-3.73,58,24,12.38,JP,1705274511
